title,description,price,count
Fancy Widget, This widget is super fancy,12.99, 5
Wooden Spoon, A sturdy spoon for all your stirring needs, 3.75, 10 
Galaxy Gloves, Gloves that make you feel like you're in space!, 49.95, 2
Random Book, A book filled with interesting and random facts of Facts, 7.23, 15
Charging Cable, Never run out of power again!, 9.99, 8
Comfortable Pillow, Sleep soundly with this cloud-like pillow, 24.50, 3
Robot Vacuum Cleaner, Let this robot clean your floors for you!, 199, 1
Colorful Notebook, A beautiful notebook to capture your thoughts, 5.99, 20
Stainless Steel Mug, Keeps your drinks hot or cold for hours, 14.95, 7
Happy Planner, Plan your days with a touch of joy!, 18.75, 4